Date,PA,LINK,PETRO,CN,CITIC
4/1/2016,61.418324,12.192821,41.415695,4.823694,7.030947
5/1/2016,61.462513,12.0283,40.91671,4.746823,7.048502
6/1/2016,61.771816,11.717537,41.052799,4.689168,7.039726
7/1/2016,61.32996,11.479898,40.73526,4.381682,6.627172
8/1/2016,61.418324,11.443337,40.463081,4.496989,6.697394
11/1/2016,60.092754,11.096015,39.9641,4.275983,6.416507
12/1/2016,59.385773,10.986335,40.14555,4.21833,6.205842
13/1/2016,60.446239,10.858375,41.052799,4.275983,6.381397
14/1/2016,62.257866,10.840095,40.689892,4.304811,6.390174
15/1/2016,61.948563,10.364812,40.689892,4.208722,6.197065
18/1/2016,60.799732,10.401372,39.9641,4.122241,5.916177
19/1/2016,60.932281,10.474493,40.825985,4.324028,6.153176
20/1/2016,59.253223,9.907809,39.011494,4.064587,5.775734
21/1/2016,58.50206,9.798129,38.648598,4.016542,5.635292
22/1/2016,59.562527,9.96265,39.691929,4.333637,6.091733
25/1/2016,60.313686,9.907809,39.782658,4.458553,6.381397
26/1/2016,60.004387,9.944368,39.918739,4.199112,5.924956
27/1/2016,60.622978,9.889529,39.601208,4.333637,6.153176
28/1/2016,61.285774,9.852969,39.329029,4.381682,6.311175
29/1/2016,62.478786,9.999209,40.236275,4.564252,6.916837
1/2/2016,62.213676,9.798129,39.691929,4.429727,6.697394
2/2/2016,62.655529,9.761569,40.100189,4.391291,6.627172
3/2/2016,62.964836,9.761569,39.238312,4.208722,6.363841
4/2/2016,64.025299,9.798129,39.011494,4.429727,6.758838
5/2/2016,63.760178,9.68845,39.011494,4.525816,6.908059
11/2/2016,62.567154,9.542207,38.648598,4.295201,6.539395
12/2/2016,63.67181,9.249725,38.966137,4.324028,6.565728
15/2/2016,64.643898,9.469087,39.646564,4.487381,6.987059
16/2/2016,63.98111,9.542207,39.011494,4.775649,7.118724
17/2/2016,63.450886,9.469087,39.011494,4.631515,6.837837
18/2/2016,64.953209,9.852969,39.510483,4.910175,7.206502
19/2/2016,65.306694,9.743288,39.283672,4.890956,7.109947
22/2/2016,65.43924,9.907809,39.011494,4.910175,7.109947
23/2/2016,65.395058,9.725009,38.739326,4.977437,7.224056
24/2/2016,65.836914,9.743288,39.011494,4.871739,7.004614
25/2/2016,64.953209,9.560488,38.966137,4.746823,6.855393
26/2/2016,66.234581,9.980929,39.419758,4.967829,7.188946
29/2/2016,65.129929,9.670167,39.782658,4.794867,6.987059
1/3/2016,65.615974,10.017488,40.327003,4.95822,7.276723
2/3/2016,67.162483,10.474493,40.37236,5.131181,7.478611
3/3/2016,67.427612,10.437933,40.100189,5.140789,7.689276
4/3/2016,67.869469,10.803533,40.236275,5.169617,7.987717
7/3/2016,66.941559,10.803533,40.100189,5.198443,8.110605
8/3/2016,67.383423,10.821815,40.009464,5.150398,8.128161
9/3/2016,67.07412,10.547613,40.236275,5.0447,7.926273
10/3/2016,66.676453,10.309972,40.236275,5.083136,7.996496
11/3/2016,67.162483,11.260536,39.873379,5.208053,8.05794
14/3/2016,68.178764,10.968054,40.553814,5.179225,7.970162
15/3/2016,67.515976,10.785254,40.689892,5.102354,7.741941
16/3/2016,66.676453,10.712133,41.234249,4.987046,7.63661
17/3/2016,68.620628,10.949774,42.413662,5.208053,8.022829
18/3/2016,69.018303,10.931495,42.413662,5.188834,7.970162
21/3/2016,69.460159,10.785254,42.459023,5.102354,7.873608
22/3/2016,69.37178,10.821815,42.005405,5.111963,7.935052
23/3/2016,69.150856,10.931495,41.27961,5.160007,8.049161
24/3/2016,69.283409,10.821815,40.689892,4.939001,7.864829
29/3/2016,68.929924,10.547613,41.415695,4.794867,7.891163
30/3/2016,69.990387,10.876654,42.096127,4.939001,7.961384
31/3/2016,70.122932,10.785254,41.733231,4.95822,8.040384
1/4/2016,69.106667,10.712133,41.415695,4.871739,7.78583
5/4/2016,69.37178,10.529332,41.27961,4.66995,7.540055
6/4/2016,69.681084,10.565893,41.551785,4.660342,7.540055
7/4/2016,69.857826,10.419651,41.32497,4.689168,7.706831
8/4/2016,70.211304,10.584173,41.778595,4.689168,7.856052
11/4/2016,69.504341,10.620732,42.232212,4.717995,7.987717
12/4/2016,69.769463,10.821815,42.413662,4.775649,8.031607
13/4/2016,70.741539,11.260536,43.094093,5.121571,8.531937
14/4/2016,70.874107,11.187415,42.640472,5.131181,8.488048
15/4/2016,71.00666,11.187415,42.912643,5.121571,8.540713
18/4/2016,70.874107,11.096015,42.821926,5.025482,8.40027
19/4/2016,71.581078,11.150855,43.366268,5.217661,8.59338
20/4/2016,70.829918,11.022895,43.275543,5.140789,8.470492
21/4/2016,70.697357,11.150855,43.774532,5.332969,8.935711
22/4/2016,69.062485,11.059456,43.729172,5.381013,8.847933
25/4/2016,68.664803,10.931495,43.729172,5.390622,8.795268
26/4/2016,67.692711,10.657293,44.228153,5.400231,8.716269
27/4/2016,66.455513,10.547613,43.547714,5.582802,8.733823
28/4/2016,65.836914,10.547613,43.638439,5.6885,8.681157
29/4/2016,65.350868,10.383093,42.776562,5.486712,8.479269
3/5/2016,66.102036,10.255131,42.322945,5.409841,8.277382
4/5/2016,67.162483,10.255131,42.368298,5.352186,8.005272
5/5/2016,67.7369,10.145451,42.685833,5.323359,7.996496
6/5/2016,67.560165,10.03577,41.823952,5.150398,7.812163
9/5/2016,67.560165,10.127171,42.685833,5.140789,7.847275
10/5/2016,68.532265,10.017488,42.821926,5.150398,7.838497
11/5/2016,68.002022,9.852969,42.096127,5.111963,7.856052
12/5/2016,66.190399,10.05405,42.912643,5.150398,7.943829
13/5/2016,66.676453,9.980929,42.459023,5.083136,7.803385
16/5/2016,66.632263,9.980929,42.459023,5.083136,7.864829
17/5/2016,66.423416,9.96265,42.595108,5.208053,8.101829
18/5/2016,66.468811,9.999209,42.232212,5.092744,8.049161
19/5/2016,67.104454,9.96265,41.551785,5.006264,7.935052
20/5/2016,68.37571,9.96265,42.685833,5.035091,7.961384
23/5/2016,69.37455,9.999209,42.096127,4.996655,7.943829
24/5/2016,69.102142,9.96265,42.141487,4.929392,7.777051
25/5/2016,69.51075,10.236852,42.867283,5.121571,8.05794
26/5/2016,69.147545,10.200291,42.821926,5.140789,8.224716
27/5/2016,69.646965,10.127171,42.504387,5.140789,8.28616
30/5/2016,68.738922,10.21857,42.776562,5.111963,8.128161
31/5/2016,68.421104,10.309972,43.320904,5.159792,8.145718
1/6/2016,67.967087,10.127171,42.731197,5.18878,8.303716
2/6/2016,67.830872,10.017488,42.459023,5.237092,8.338825
3/6/2016,68.557312,10.163731,43.638439,5.198442,8.365159
6/6/2016,69.51075,10.309972,44.001343,5.26608,8.426604
7/6/2016,69.964783,10.511053,44.68177,5.401356,8.619714
8/6/2016,70.373405,10.492771,45.044674,5.526968,8.78184
10/6/2016,70.327988,10.236852,46.042637,5.468993,8.637727
13/6/2016,68.920525,10.106564,46.314812,5.22743,8.457587
14/6/2016,67.331459,10.069339,45.271484,5.159792,8.475601
15/6/2016,66.605011,10.050728,46.133358,5.121142,8.502622
16/6/2016,64.607323,10.050728,45.770466,5.005192,8.196383
17/6/2016,64.334908,10.069339,46.178722,5.014854,8.133334
20/6/2016,67.059044,10.199625,46.178722,5.101817,8.430565
21/6/2016,66.559616,10.367138,45.861187,5.130804,8.637727
22/6/2016,66.423416,10.404363,45.974178,5.217768,8.763825
23/6/2016,66.741234,10.404363,45.881489,5.237092,8.709783
24/6/2016,63.563072,10.236851,46.066872,5.005192,8.367517
27/6/2016,61.883194,10.199625,47.874325,4.927891,8.26844
28/6/2016,61.429169,10.199625,48.569496,4.889241,8.259432
29/6/2016,62.291801,10.236851,50.006195,5.005192,8.421559
30/6/2016,64.516518,10.497426,48.940258,5.11148,8.664747
4/7/2016,65.106743,10.627713,49.959846,5.169455,8.78184
5/7/2016,64.017097,10.478813,49.45005,5.053504,8.619714
6/7/2016,64.107895,10.274076,48.80122,4.966542,8.529643
7/7/2016,64.471115,10.385751,49.496395,5.082492,8.664747
8/7/2016,63.971695,10.292688,49.774467,5.053504,8.547657
11/7/2016,63.971695,10.553264,50.237915,5.130804,8.637727
12/7/2016,64.743538,10.702163,51.952675,5.208105,8.709783
13/7/2016,65.515366,10.702163,51.442883,5.22743,8.844888
14/7/2016,65.742371,10.9069,51.581917,5.295068,8.862903
15/7/2016,65.742371,10.869675,51.581917,5.285405,8.853895
18/7/2016,66.287201,10.888287,51.90633,5.314393,8.925952
19/7/2016,66.468811,10.888287,51.952675,5.217768,8.826875
20/7/2016,66.559616,10.962736,52.647854,5.217768,8.96198
21/7/2016,67.967087,10.98135,52.972271,5.198442,8.970987
22/7/2016,68.330307,10.9069,52.833233,5.18878,8.916944
25/7/2016,67.785477,10.962736,53.018612,5.169455,8.952972
26/7/2016,68.602715,11.037188,53.064957,5.101817,8.71879
27/7/2016,68.37571,11.148861,53.064957,5.18878,8.763825
28/7/2016,68.148697,11.167473,54.0382,5.179117,8.610706
29/7/2016,68.965927,10.9069,53.667442,5.082492,8.358508
1/8/2016,70.736618,11.074411,52.647854,5.130804,8.340497
2/8/2016,70.736618,11.074411,52.647854,5.130804,8.340497
3/8/2016,69.91938,10.832451,51.211159,5.034179,7.971209
4/8/2016,69.692375,10.925511,50.655025,5.053504,8.214397
5/8/2016,69.692375,10.962736,52.647854,5.092155,8.322481
8/8/2016,70.282593,11.186087,52.833233,5.130804,8.340497
9/8/2016,69.692375,11.576947,51.581917,5.15013,8.421559
10/8/2016,70.509613,11.44666,52.045368,5.130804,8.430565
11/8/2016,69.91938,11.483886,51.442883,5.092155,8.394537
12/8/2016,70.327988,11.632785,50.886745,5.159792,8.664747
15/8/2016,70.282593,11.781686,50.747711,5.159792,8.799855
16/8/2016,70.055588,11.781686,51.90633,5.208105,8.817868
17/8/2016,69.465355,11.74446,51.720951,5.198442,8.790847
18/8/2016,69.419952,11.800298,51.99902,5.159792,8.790847
19/8/2016,69.91938,11.725849,52.369781,5.140467,8.826875
22/8/2016,69.87397,11.781686,52.369781,5.130804,8.772833
23/8/2016,69.783173,11.74446,53.064957,5.101817,8.673755
24/8/2016,69.283752,11.763073,52.045368,5.092155,8.655742
25/8/2016,69.419952,11.595561,52.786888,5.043842,8.574678
26/8/2016,69.099205,11.688622,52.369781,5.082492,8.664747
29/8/2016,68.457695,11.651397,51.628262,5.043842,8.601699
30/8/2016,68.50351,11.595561,51.628262,5.063167,8.583685
31/8/2016,67.999481,11.372211,52.277092,5.005192,8.583685
1/9/2016,68.77845,11.279148,52.508816,4.966542,8.484609
2/9/2016,69.236664,11.148861,52.323437,5.005192,8.484609
5/9/2016,69.740707,11.260537,53.064957,5.063167,8.664747
6/9/2016,69.465782,11.316375,52.555161,5.063167,8.736804
7/9/2016,70.061455,11.372211,53.064957,5.053504,8.754819
8/9/2016,70.244743,11.372211,53.435719,5.053504,8.782177
9/9/2016,70.290565,11.576947,53.203991,5.043842,8.836894
12/9/2016,69.190849,11.167473,51.90633,4.937554,8.599786
13/9/2016,68.549347,11.037188,51.674606,4.893782,8.645382
14/9/2016,68.595161,10.962104,51.072124,4.845232,8.545068
15/9/2016,69.099205,10.943334,51.720951,4.816103,8.481231
19/9/2016,69.465782,10.980874,51.720951,4.845232,8.472111
20/9/2016,69.786522,10.868251,52.184399,4.816103,8.426512
21/9/2016,69.96981,10.830709,51.303844,4.854942,8.526829
22/9/2016,70.38221,10.887022,52.694199,4.884072,8.590666
23/9/2016,70.428024,10.755627,52.694199,4.913201,8.618024
26/9/2016,70.519669,10.549148,52.184399,4.835523,8.426512
27/9/2016,70.336388,10.511607,53.018612,4.854942,8.481231
28/9/2016,70.748779,10.474065,53.29668,4.835523,8.453872
29/9/2016,70.886246,10.62423,52.879578,4.981172,8.882493
30/9/2016,69.282486,10.380212,52.833233,4.942332,8.773057
3/10/2016,69.740707,10.474065,53.667442,4.971461,8.891613
4/10/2016,69.37413,10.530377,53.760132,5.03943,8.909853
5/10/2016,68.50351,10.699313,52.601509,5.194788,9.247277
6/10/2016,68.366051,10.736855,52.323437,5.408406,9.612062
7/10/2016,67.083046,10.699313,52.184399,5.359856,9.429669
11/10/2016,65.479279,10.530377,50.979435,5.388987,9.466147
12/10/2016,65.525101,10.417753,50.469639,5.311306,9.520864
13/10/2016,65.433456,10.323899,51.257504,5.165658,9.283755
14/10/2016,65.983322,10.455295,51.90633,5.204498,9.520864
17/10/2016,65.891678,10.380212,51.628262,5.155948,9.338473
18/10/2016,66.029144,10.549148,52.416126,5.233628,9.557343
19/10/2016,65.708389,10.492835,51.952675,5.223918,9.539104
20/10/2016,65.983322,10.530377,51.628262,5.379276,9.739736
21/10/2016,65.983322,10.530377,51.628262,5.379276,9.739736
24/10/2016,67.220497,10.811938,52.416126,5.524924,9.757974
25/10/2016,67.037224,10.699313,52.369781,5.476375,9.757974
26/10/2016,66.853935,10.567919,52.091713,5.359856,9.557343
27/10/2016,66.762291,10.492835,51.952675,5.253047,9.301995
28/10/2016,66.716469,10.436523,50.979435,5.223918,9.15608
31/10/2016,66.853935,10.455295,51.257504,5.185079,9.001047
1/11/2016,68.091125,10.680543,51.489227,5.243338,9.110482
2/11/2016,67.632912,10.511607,50.747711,5.12682,9.001047
3/11/2016,66.94558,10.511607,51.164814,5.107399,8.955449
4/11/2016,67.495438,10.436523,50.562328,5.146239,8.891613
7/11/2016,68.045296,10.511607,50.747711,5.233628,8.982809
8/11/2016,68.091125,10.62423,50.794052,5.243338,8.937211
9/11/2016,67.083046,10.436523,50.840397,5.049139,8.690981
10/11/2016,67.587082,10.811938,50.840397,5.117109,8.928091
11/11/2016,66.304077,10.718085,49.218323,5.03943,8.763938
14/11/2016,66.029144,10.680543,48.013359,4.981172,8.672742
15/11/2016,66.349892,10.868251,48.337772,5.0103,8.71834
16/11/2016,65.983322,10.924563,47.549911,5.05885,8.873373
17/11/2016,66.304077,10.980874,48.70853,5.02972,8.827775
18/11/2016,66.624817,10.962104,48.986599,5.02972,8.909853
21/11/2016,66.349892,11.074729,48.986599,5.049139,8.873373
22/11/2016,66.89975,11.224895,49.287247,5.243338,9.338473
23/11/2016,67.037224,11.262435,49.334595,5.233628,9.265516
24/11/2016,66.808113,11.262435,49.666019,5.194788,9.210799
25/11/2016,66.853935,11.318748,49.429291,5.204498,9.15608
28/11/2016,66.991394,11.450143,49.8554,5.194788,9.119602
29/11/2016,67.037224,11.356291,50.092133,5.185079,9.037526
30/11/2016,67.816193,11.206123,50.565594,5.117109,8.918971
1/12/2016,66.89975,11.243665,49.99744,5.359856,9.466147
2/12/2016,65.708389,11.055957,49.8554,5.330727,9.429669
5/12/2016,65.983322,10.980874,49.8554,5.311306,9.247277
6/12/2016,66.624817,11.074729,50.044785,5.359856,9.283755
7/12/2016,66.304077,11.168582,50.897015,5.350146,9.301995
8/12/2016,66.487366,11.299977,51.039055,5.350146,9.374951
9/12/2016,66.120789,11.131042,51.323132,5.282177,9.356712
12/12/2016,65.754204,10.868251,50.754974,5.311306,9.320234
13/12/2016,65.708389,10.868251,49.8554,5.592894,9.466147
14/12/2016,64.92942,10.830709,49.713364,5.84535,9.466147
15/12/2016,64.058807,10.718085,47.724827,5.738542,9.137841
16/12/2016,63.234016,10.811938,47.535442,5.709413,9.19256
19/12/2016,62.638332,10.511607,47.488098,5.748251,9.119602
20/12/2016,63.050728,10.417753,47.488098,5.689993,9.046646
21/12/2016,62.959084,10.361442,47.346062,5.777381,9.028405
22/12/2016,62.638332,10.230046,46.872597,5.651153,8.836894
23/12/2016,62.455051,10.230046,46.588524,5.641443,8.72746
28/12/2016,62.3634,10.267587,46.399139,5.670573,8.846014
29/12/2016,62.271755,10.34267,47.156673,5.612314,8.773057
30/12/2016,62.638332,10.417753,47.724827,5.612314,8.846014
